Game,Copies Sold (Millions),Copies Sold (Exact),Release Date,Release Year,Release Month,Primary Genre,All Genres,Primary Developer,All Developers,Publisher
Marvel's Spider-Man,20.0,20000000.0,2018-09-07,2018,September,Action-adventure,Action-adventure,Insomniac Games,Insomniac Games,Sony Interactive Entertainment
God of War,19.5,19500000.0,2018-04-20,2018,April,Action-adventure hack and slash,Action-adventure hack and slash,Santa Monica Studio,Santa Monica Studio,Sony Interactive Entertainment
Uncharted 4: A Thief's End,16.0,16000000.0,2016-05-10,2016,May,Action-adventure,Action-adventure,Naughty Dog,Naughty Dog,Sony Interactive Entertainment
The Witcher 3: Wild Hunt,10.8,10800000.0,2015-05-18,2015,May,Action role-playing,Action role-playing,CD Projekt Red,CD Projekt Red,CD Projekt
The Last of Us Part II,10.0,10000000.0,2020-06-19,2020,June,Action-adventure survival horror,Action-adventure survival horror,Naughty Dog,Naughty Dog,Sony Interactive Entertainment
Horizon Zero Dawn,10.0,10000000.0,2017-02-28,2017,February,Action role-playing,Action role-playing,Guerrilla Games,Guerrilla Games,Sony Interactive Entertainment
The Last of Us Remastered,10.0,10000000.0,2014-07-29,2014,July,Action-adventure survival horror,Action-adventure survival horror,Naughty Dog,Naughty Dog,Sony Computer Entertainment
Ghost of Tsushima,9.73,9730000.0,2020-07-17,2020,July,Action-adventure stealth,Action-adventure stealth,Sucker Punch Productions,Sucker Punch Productions,Sony Interactive Entertainment
Star Wars Battlefront,8.42,8420000.0,2015-11-17,2015,November,First-person shooter third-person shooter,First-person shooter third-person shooter,EA DICE,EA DICE,Electronic Arts
Gran Turismo Sport,8.0,8000000.0,2017-10-17,2017,October,Racing,Racing,Polyphony Digital,Polyphony Digital,Sony Interactive Entertainment
Infamous Second Son,6.0,6000000.0,2014-03-21,2014,March,Action-adventure,Action-adventure,Sucker Punch Productions,Sucker Punch Productions,Sony Computer Entertainment
Detroit: Become Human,5.5,5500000.0,2018-05-25,2018,May,Adventure,Adventure,Quantic Dream,Quantic Dream,Sony Interactive Entertainment
Final Fantasy VII Remake,5.0,5000000.0,2020-04-10,2020,April,Action role-playing,Action role-playing,Square Enix,Square Enix,Square Enix
Monster Hunter: World,4.67,4670000.0,2018-01-26,2018,January,Action role-playing,Action role-playing,Capcom,Capcom,Capcom
Cyberpunk 2077,3.83,3830000.0,2020-12-10,2020,December,Action role-playing,Action role-playing,CD Projekt Red,CD Projekt Red,CD Projekt
FIFA 17,3.12,3120000.0,2016-09-27,2016,September,Sports,Sports,EA Canada EA Bucharest,EA Canada EA Bucharest,EA Sports
Crash Bandicoot N. Sane Trilogy,2.5,2500000.0,2017-06-30,2017,June,Platform,Platform,Vicarious Visions,Vicarious Visions,Activision
Final Fantasy XV,2.5,2500000.0,2016-11-29,2016,November,Action role-playing,Action role-playing,Square Enix Business Division 2,Square Enix Business Division 2,Square Enix
Persona 5 Royal,2.3,2300000.0,2019-10-31,2019,October,Role-playing social simulation,Role-playing social simulation,P-Studio,P-Studio,Atlus
Killzone: Shadow Fall,2.1,2100000.0,2013-11-15,2013,November,First-person shooter,First-person shooter,Guerrilla Games,Guerrilla Games,Sony Computer Entertainment
Grand Theft Auto V,2.02,2020000.0,2014-11-18,2014,November,Action-adventure,Action-adventure,Rockstar North,Rockstar North,Rockstar Games
Bloodborne,2.0,2000000.0,2015-03-24,2015,March,Action role-playing,Action role-playing,FromSoftware,FromSoftware,Sony Computer Entertainment
Driveclub,2.0,2000000.0,2014-10-07,2014,October,Racing,Racing,Evolution Studios,Evolution Studios,Sony Computer Entertainment
Knack,2.0,2000000.0,2013-11-15,2013,November,Platform beat 'em up,Platform beat 'em up,Japan Studio,Japan Studio,Sony Computer Entertainment
Minecraft: PlayStation 4 Edition,2.0,2000000.0,2014-09-04,2014,September,Sandbox survival,Sandbox survival,4J Studios,4J Studios,Sony Computer Entertainment
Nier: Automata,1.6,1600000.0,2017-02-23,2017,February,Action role-playing,Action role-playing,PlatinumGames,PlatinumGames,Square Enix
Nioh 2,1.4,1400000.0,2020-03-12,2020,March,Action role-playing,Action role-playing,Team Ninja,Team Ninja,WW: Sony Interactive Entertainment JP: Koei Tecmo
Battlefield 1,1.3,1300000.0,2016-10-21,2016,October,First-person shooter,First-person shooter,EA DICE,EA DICE,Electronic Arts
Dragon Quest XI: Echoes of an Elusive Age,1.3,1300000.0,2017-07-29,2017,July,Role-playing,Role-playing,Square Enix,Square Enix,Square Enix
Metal Gear Solid V: The Phantom Pain,1.1,1100000.0,2015-09-01,2015,September,Action-adventure stealth,Action-adventure stealth,Kojima Productions,Kojima Productions,Konami
Final Fantasy XII: The Zodiac Age,1.0,1000000.0,2017-07-11,2017,July,Role-playing,Role-playing,Square Enix,Square Enix,Square Enix
Kingdom Hearts III,1.0,1000000.0,2019-01-25,2019,January,Action role-playing,Action role-playing,Square Enix,Square Enix,Square Enix
Nioh,1.0,1000000.0,2017-02-07,2017,February,Action role-playing,Action role-playing,Team Ninja,Team Ninja,WW: Sony Interactive Entertainment JP: Koei Tecmo
